,GTEX-1B8KZ-0226-SM-7EWF6,GTEX-1AYD5-0226-SM-79ONV,GTEX-1AMFI-0926-SM-731E4,GTEX-1A3MV-0126-SM-731FQ,GTEX-1AX9K-0226-SM-793CM
chrX:41297202-41303599,28,93,40,34,31
chrX:41380602-41385400,0,5,6,0,11
chrX:41389202-41394399,0,0,46,7,6
chrX:42803340-42805799,55,11,0,50,36
chrX:42938201-42939200,22,59,0,20,0
chrX:42953802-42956999,47,19,0,21,0
chrX:44143801-44145800,17,0,78,38,19
chrX:46551401-46552200,9,0,19,4,0
chrX:47097200-47097600,22,24,11,0,0
chrX:47129699-47130032,36,71,28,41,12
chrX:47420601-47421000,11,9,37,31,25
chrX:47489401-47491400,577,652,236,325,434
chrX:47496201-47498889,68,68,51,29,67
chrX:47499002-47503600,117,162,35,37,74
chrX:47506602-47508599,32,287,20,32,157
chrX:47556134-47556394,41,26,27,31,36
chrX:47632699-47633041,86,44,45,114,146
chrX:47633855-47634586,6,45,130,87,161
chrX:47805602-47808399,213,160,405,296,370
chrX:48615801-48618600,46,160,149,87,80
chrX:48621001-48622199,23,0,45,19,8
chrX:48648201-48649683,0,164,28,42,118
chrX:48660401-48660600,0,6,15,10,3
chrX:48661001-48661200,6,4,9,25,0
chrX:48919541-48919921,100,70,77,0,28
chrX:48919961-48920656,85,56,105,79,169
chrX:48972901-48973106,10,0,22,9,22
chrX:49103201-49104000,94,260,108,104,111
chrX:49127402-49131799,85,58,16,29,27
chrX:49136401-49138200,61,8,0,9,4
chrX:49873601-49874200,0,21,28,1,47
chrX:51484201-51485400,0,30,35,0,11
chrX:53184601-53185201,45,18,167,0,10
chrX:53186200-53186401,0,18,27,39,8
chrX:53186600-53186801,2,0,53,10,0
chrX:53361602-53364200,1372,1822,1992,1200,1113
chrX:53372002-53372329,13,83,125,146,28
chrX:53696001-53697000,59,64,19,40,0
chrX:53704401-53704800,0,18,28,0,18
chrX:53714032-53714306,22,0,0,21,14
chrX:53930401-53930826,230,107,33,42,159
chrX:53935401-53935600,38,26,24,9,104
chrX:54416801-54417000,15,0,38,5,0
chrX:54633201-54634400,68,128,21,127,77
chrX:54641614-54641805,4,0,4,10,11
chrX:56573001-56573400,63,32,19,77,48
chrX:56595001-56596200,77,75,245,329,143
chrX:56600001-56600600,39,37,38,11,56
chrX:57117201-57117801,74,142,174,125,101
chrX:57155201-57155600,22,17,13,5,0
chrX:57607273-57607645,15,0,30,62,0
chrX:57607939-57608332,37,18,0,0,30
chrX:57901043-57901305,57,65,116,128,9
chrX:57902001-57902200,126,42,148,35,9
chrX:57902801-57903000,72,90,171,113,109
chrX:57903207-57903597,149,87,135,97,129
chrX:57904243-57904728,29,93,285,116,111
chrX:63934001-63934400,0,37,9,28,0
chrX:64152601-64153599,22,8,35,88,21
chrX:64841601-64844999,96,219,263,41,16
chrX:64849601-64851999,1141,1930,1205,319,224
chrX:65743002-65746799,56,18,212,257,127
chrX:66046853-66047178,0,0,23,18,15
chrX:68573602-68574400,21,9,0,31,0
chrX:68575401-68575600,15,0,0,10,9
chrX:68583601-68584800,23,18,10,79,19
chrX:68596401-68597600,37,186,0,9,0
chrX:68864601-68869599,0,18,19,0,18
chrX:68921401-68922000,4,0,1,12,0
chrX:69024201-69029199,22,18,0,0,18
chrX:69030601-69033227,0,25,13,10,13
chrX:69033601-69034600,0,26,12,0,22
chrX:69036601-69037800,10,35,21,6,17
chrX:69080601-69084199,43,0,18,58,4
chrX:69152201-69156399,0,20,21,22,0
chrX:69158401-69159599,102,39,117,175,80
chrX:69603602-69604199,0,18,9,0,9
chrX:70219801-70220930,28,17,15,87,56
chrX:70438402-70439600,335,1084,125,288,495
chrX:70525471-70526155,87,246,140,90,139
chrX:70979001-70979200,0,15,27,6,0
chrX:70979320-70979763,0,0,25,38,2
chrX:71047601-71049000,33,88,85,76,48
chrX:71055559-71055811,401,194,338,241,392
chrX:71177006-71178000,84,70,25,114,38
chrX:71178601-71179600,43,0,5,31,18
chrX:71231601-71232000,14,0,3,0,5
chrX:71778251-71778999,191,370,214,232,265
chrX:75731961-75732316,6,35,39,30,0
chrX:76148355-76148695,16,23,13,56,39
chrX:76183401-76184039,87,98,242,155,83
chrX:76184801-76185000,18,25,91,47,23
chrX:76185201-76185400,64,50,110,83,84
chrX:76192401-76192800,110,37,378,126,116
chrX:78966001-78966600,239,128,140,104,15
chrX:79220801-79222000,0,4,0,21,13
chrX:79253001-79255000,197,248,150,179,79
chrX:79267002-79272799,147,282,95,181,21
chrX:79400401-79401599,17,0,3,40,0
chrX:79452001-79452200,11,106,44,60,8
chrX:80663214-80663607,0,0,72,48,19
chrX:80812146-80812441,214,153,126,125,51
chrX:81315601-81318200,23,18,0,42,0
chrX:81324201-81324999,27,34,59,111,25
chrX:81331601-81333400,43,0,0,9,17
chrX:81347601-81349000,69,59,39,41,48
chrX:81354401-81356000,16,19,77,41,37
chrX:81366401-81368400,32,0,38,40,32
chrX:81392001-81393000,0,12,13,10,0
chrX:90523601-90525600,119,38,111,141,197
chrX:99939401-99940000,68,78,14,57,14
chrX:100906201-100907600,217,61,217,359,173
chrX:100939201-100939755,22,37,28,94,4
chrX:100993802-100996599,343,500,402,209,202
chrX:101164801-101165128,187,172,54,54,215
chrX:102339102-102340073,0,18,41,0,35
chrX:102958001-102958600,45,38,94,41,48
chrX:102959001-102960200,206,128,264,273,308
chrX:102962201-102962400,66,94,89,183,88
chrX:102962601-102963000,240,338,371,185,176
chrX:102964001-102964200,181,424,172,183,260
chrX:102975401-102979599,0,20,10,22,0
chrX:103250601-103251800,80,54,85,117,28
chrX:103530801-103531436,60,166,48,49,204
chrX:103531601-103531800,6,84,5,33,17
chrX:103535401-103537000,33,25,105,132,159
chrX:103537401-103537600,65,0,40,0,66
chrX:103538639-103538991,11,18,19,0,41
chrX:103556890-103557305,0,18,34,56,0
chrX:104162801-104163800,11,31,75,66,0
chrX:107480001-107481400,23,56,19,0,19
chrX:107662201-107663000,14,0,116,67,50
chrX:107668801-107670600,53,41,141,100,38
chrX:107674577-107675109,0,18,38,9,19
chrX:107675848-107676393,63,0,0,20,1
chrX:107676773-107677571,68,0,11,1,28
chrX:109345001-109356399,34,41,0,0,14
chrX:109619202-109622600,0,0,17,18,16
chrX:110187801-110190000,23,48,39,20,0
chrX:110667402-110668800,20,18,0,0,19
chrX:112623519-112623853,18,0,39,0,9
chrX:115344201-115346400,42,18,0,32,0
chrX:115449202-115450400,19,134,96,30,28
chrX:115451801-115452200,67,88,76,45,66
chrX:115459202-115461599,39,0,170,13,56
chrX:115498201-115499999,5,21,18,0,8
chrX:116104401-116106400,517,484,475,421,484
chrX:118693402-118700000,404,120,226,322,337
chrX:118717639-118718304,59,53,18,37,37
chrX:118802201-118803800,33,42,38,80,55
chrX:118804001-118804539,11,45,11,12,116
chrX:119457801-119458200,227,97,96,25,163
chrX:119493402-119497800,0,0,27,59,1653
chrX:119769304-119769698,39,92,19,2,118
chrX:119770801-119771800,25,56,15,0,0
chrX:119773401-119778000,68,252,304,143,109
chrX:119779202-119785600,0,0,40,17,95
chrX:119879802-119881282,17,18,0,20,0
chrX:120418602-120420799,115,16,39,20,148
chrX:120514001-120514600,13,0,17,68,38
chrX:120517801-120518800,13,0,72,55,68
chrX:120578201-120580200,65,19,142,21,0
chrX:123951601-123952001,34,16,19,0,6
chrX:129597601-129598200,125,162,0,108,60
chrX:129599201-129600000,45,18,46,0,55
chrX:129717001-129723599,19,40,0,62,16
chrX:129797801-129800200,984,841,891,873,725
chrX:130111781-130112178,63,126,21,78,55
chrX:130113601-130116000,32,37,0,0,32
chrX:130549201-130550400,10,13,0,21,0
chrX:132015201-132018800,0,56,105,73,17
chrX:133298201-133298600,0,8,13,0,41
chrX:134184601-134188200,70,65,0,29,98
chrX:134431601-134432400,22,14,35,17,0
chrX:134524400-134526200,339,852,416,530,692
chrX:134527402-134529599,75,115,58,20,57
chrX:134860001-134860400,28,26,82,64,44
chrX:134860801-134862355,346,246,286,177,87
chrX:134999444-135001599,0,28,27,20,0
chrX:135008602-135012600,131,209,513,505,184
chrX:135019401-135020000,49,276,202,114,149
chrX:135023801-135025200,134,199,197,226,367
chrX:135030201-135030935,0,5,15,22,0
chrX:135035001-135035400,31,55,127,210,90
chrX:135036201-135036400,27,37,141,52,54
chrX:135041168-135042000,22,65,80,27,75
chrX:135515801-135517000,59,0,0,21,56
chrX:136584201-136589400,23,0,0,21,19
chrX:136597602-136599399,45,0,32,0,13
chrX:136615402-136620600,147,12,39,105,19
chrX:136622601-136623999,18,0,1,0,19
chrX:136797801-136799200,46,46,19,0,0
chrX:136819801-136820000,11,5,23,0,0
chrX:136823200-136823401,0,0,14,20,9
chrX:136825401-136826600,41,55,38,40,0
chrX:136828201-136830200,98,141,2,92,14
chrX:136884156-136888000,11,9,0,0,4
chrX:140087801-140089800,23,36,2,0,0
chrX:140177801-140178200,0,22,13,0,16
chrX:140249001-140251200,23,21,0,17,0
chrX:147894401-147894999,34,56,0,43,0
chrX:149472001-149474400,10,14,57,9,17
chrX:149551601-149551800,14,81,82,79,109
chrX:149552001-149552200,24,44,58,23,76
chrX:149555401-149555600,133,172,138,145,109
chrX:149927401-149927600,11,58,120,34,77
chrX:149928401-149928600,12,39,14,16,27
chrX:150558201-150559200,22,18,0,31,0
chrX:151419201-151420600,0,18,17,0,38
chrX:152816801-152817426,18,0,25,20,37
chrX:152878931-152879800,23,22,9,0,0
chrX:153988202-153993399,62,25,0,21,0
chrX:154336201-154337000,62,50,125,49,27
chrX:154382201-154382400,25,49,15,10,0
chrX:154382801-154383000,5,100,0,20,6
chrX:155372201-155372400,0,18,1,27,8
chrX:155433601-155436599,40,18,57,36,0
chr13:19785401-19785600,19,18,0,4,42
chr13:19790401-19796799,19,38,65,139,103
chr13:20358202-20361600,15,24,12,27,76
chr13:21180578-21181200,0,31,9,28,6
chr13:21355201-21355400,0,23,5,36,59
chr13:21365402-21366399,19,0,34,40,0
chr13:22009201-22010200,19,0,8,0,13
chr13:23722459-23725199,16,46,20,22,0
chr13:23899401-23900400,13,46,197,67,92
chr13:23900802-23901999,0,36,259,123,38
chr13:23931801-23933001,32,0,64,68,28
chr13:25213545-25215206,44,16,0,0,10
chr13:27001201-27001400,7,13,0,12,0
chr13:27034677-27034822,11,23,9,10,0
chr13:27042402-27045600,114,109,126,91,35
chr13:27052685-27055799,0,53,233,42,19
chr13:27489601-27491000,0,18,19,20,0
chr13:28122002-28122800,22,18,57,0,0
chr13:28296801-28297800,0,15,0,6,18
chr13:28651401-28652800,0,17,0,20,38
chr13:28719717-28720067,0,0,26,1,38
chr13:28734401-28735799,156,68,0,20,211
chr13:29654754-29655536,22,359,344,400,319
chr13:29758201-29760000,78,37,0,24,13
chr13:29956602-29959799,81,0,20,30,75
chr13:30141002-30144274,24,71,20,0,20
chr13:30186401-30187600,0,5,19,76,50
chr13:30191800-30193001,23,52,94,168,172
chr13:30311402-30315800,447,406,262,310,395
chr13:30331201-30331800,173,55,19,72,83
chr13:30332201-30332600,29,41,17,15,75
chr13:30333201-30333801,11,18,54,53,18
chr13:30335048-30337599,42,108,38,69,102
chr13:30447401-30448000,267,458,166,143,91
chr13:30453601-30454200,117,32,176,217,146
chr13:30707801-30709399,45,145,0,13,57
chr13:30773601-30775600,0,0,50,10,94
chr13:30776401-30777200,45,0,35,4,0
chr13:30779601-30780000,0,18,19,0,3
chr13:30783602-30790199,69,232,243,215,156
chr13:30791276-30793799,0,64,54,30,37
chr13:30816402-30819905,47,34,111,38,109
chr13:30828402-30831199,46,0,39,106,55
chr13:30831516-30836799,47,90,33,14,105
chr13:31626802-31632399,16,20,35,0,55
chr13:31814001-31815000,41,0,12,0,37
chr13:32541601-32543200,4,3,8,0,0
chr13:32790801-32791000,10,28,9,9,6
chr13:32791202-32793999,33,95,78,102,97
chr13:32823602-32825799,9,0,0,11,19
chr13:32829202-32830999,0,17,2,17,0
chr13:33003601-33005399,21,0,20,0,17
chr13:33006202-33007800,23,11,20,36,0
chr13:36298602-36299031,0,25,4,50,11
chr13:36420201-36422200,23,19,20,21,0
chr13:36837401-36837600,0,0,46,35,16
chr13:36838000-36838200,14,10,67,29,0
chr13:36839202-36840399,249,156,202,244,201
chr13:36840831-36841091,16,57,36,31,58
chr13:37065801-37066600,45,0,36,19,0
chr13:37086002-37093200,32,87,91,58,206
chr13:37095801-37096200,0,5,9,14,34
chr13:37097400-37099200,0,48,18,19,49
chr13:37106401-37107400,329,82,66,203,1111
chr13:37108801-37109800,0,73,3,40,488
chr13:37126402-37129999,59,43,82,68,610
chr13:37133801-37136200,21,46,39,101,266
chr13:37149365-37149709,0,1,0,20,118
chr13:37173002-37173999,0,18,17,20,54
chr13:37175401-37177400,104,133,12,100,484
chr13:37187000-37187601,0,1,0,36,42
chr13:37193002-37195153,0,0,16,40,26
chr13:37197802-37199799,0,0,50,103,94
chr13:37201400-37202401,0,67,38,66,76
chr13:37225001-37225400,0,0,13,91,98
chr13:37225800-37226400,0,19,39,169,195
chr13:37306602-37307599,26,21,87,27,170
chr13:37313001-37313601,0,64,0,20,132
chr13:37360002-37361999,0,0,10,13,37
chr13:40670201-40674999,43,58,189,345,125
chr13:40698001-40699000,0,18,48,20,116
chr13:40706001-40706800,7,0,50,19,0
chr13:40714201-40714600,11,0,109,36,0
chr13:40786001-40787800,40,0,57,19,0
chr13:40928401-40929400,38,21,109,160,9
chr13:41085801-41086800,80,92,114,0,152
chr13:41271201-41272800,0,13,4,0,3
chr13:41278401-41279800,79,5,8,0,38
chr13:41281401-41283200,0,17,18,14,0
chr13:41284483-41285999,2,7,38,22,18
chr13:42328201-42330200,23,19,17,0,0
chr13:42876917-42877331,22,0,38,16,0
chr13:44588201-44588800,87,30,0,24,17
chr13:45291401-45293001,0,38,18,47,55
chr13:45295402-45301600,296,317,401,463,201
chr13:45302600-45303200,0,0,46,20,17
chr13:45318801-45323799,508,529,260,332,455
chr13:45931201-45934400,0,50,20,60,87
chr13:45936601-45937046,0,0,17,45,16
chr13:46307201-46308600,0,11,39,20,0
chr13:46316001-46317599,45,17,38,0,9
chr13:47250076-47250617,0,9,19,38,18
chr13:48050001-48051000,47,92,59,112,29
chr13:48171602-48175600,23,0,15,32,14
chr13:48291801-48293200,23,105,56,184,38
chr13:48738201-48739399,23,26,6,0,19
chr13:49236001-49236400,32,0,19,0,9
chr13:49295401-49295600,37,9,13,1,7
chr13:49299002-49300000,13,36,66,27,14
chr13:49614802-49619200,19,160,67,149,115
chr13:49635545-49635848,14,111,59,0,70
chr13:49637801-49638400,43,94,157,82,195
chr13:49642049-49642448,196,523,192,252,569
chr13:49651601-49651800,11,23,0,17,15
chr13:49652275-49653200,116,99,34,84,94
chr13:49655001-49655200,9,5,17,21,60
chr13:49951401-49952400,31,12,67,0,32
chr13:51848402-51851800,40,70,17,32,76
chr13:51905202-51907599,0,14,0,19,17
chr13:52343417-52346399,93,345,75,101,18
chr13:52347601-52350199,62,44,39,0,19
chr13:52352801-52353600,0,29,0,41,14
chr13:52371202-52375399,100,51,16,57,36
chr13:52452001-52452200,0,21,28,27,0
chr13:52480617-52481761,22,9,5,62,0
chr13:53008002-53025599,26,0,67,95,21
chr13:55524401-55524600,19,0,13,7,5
chr13:57601401-57602000,0,41,0,16,47
chr13:57603801-57605400,0,37,6,0,21
chr13:57627578-57628200,0,20,0,10,56
chr13:57734201-57734400,54,42,41,20,76
chr13:57738801-57741800,94,51,57,32,93
chr13:59111699-59112999,31,18,110,51,63
chr13:59356002-59358399,0,26,21,16,38
chr13:59458401-59462599,119,66,101,74,173
chr13:59464201-59465600,0,11,14,20,0
chr13:59470802-59471400,11,64,64,16,14
chr13:59472000-59472401,30,86,123,49,82
chr13:59483202-59484399,19,36,19,21,22
chr13:59493401-59496000,7,85,29,21,0
chr13:59497401-59499000,21,31,18,0,47
chr13:59499201-59499800,0,9,25,0,56
chr13:59632602-59635999,66,70,25,32,16
chr13:60166801-60167000,24,30,18,0,0
chr13:60167201-60167400,70,15,28,0,6
chr13:61179401-61181000,215,915,588,730,379
chr13:61182801-61186400,2349,7358,2343,2811,2719
chr13:61210201-61211399,202,376,48,123,122
chr13:71869202-71870200,107,85,19,59,11
chr13:71870402-71871800,33,57,0,119,27
chr13:71874601-71875001,0,0,9,13,18
chr13:71876202-71877999,51,0,18,19,71
chr13:73018400-73018801,38,29,132,60,92
chr13:73675601-73678999,45,16,17,18,12
chr13:73684400-73685000,52,30,0,48,0
chr13:74005402-74006799,0,0,17,70,15
chr13:74035802-74039000,19,50,36,104,19
chr13:74040002-74042999,89,18,38,36,0
chr13:74054401-74059200,79,11,36,84,17
chr13:74072857-74077200,19,0,33,35,75
chr13:74084801-74085799,14,74,0,0,18
chr13:74086802-74094000,150,26,36,39,35
chr13:74095802-74100599,122,11,79,39,17
chr13:74101201-74102800,83,19,67,30,37
chr13:74103401-74104600,0,10,27,0,19
chr13:74109801-74111200,20,18,0,51,0
chr13:74112001-74119199,64,26,91,19,0
chr13:74134760-74135357,5,16,1,0,0
chr13:74269864-74270502,365,217,614,532,170
chr13:76866401-76867200,0,18,10,0,36
chr13:77766602-77768000,182,18,24,102,68
chr13:77852801-77855800,0,14,19,40,18
chr13:77859002-77863913,44,17,18,0,0
chr13:80275601-80278199,97,63,105,21,68
chr13:80344602-80346599,0,19,17,16,0
chr13:80441801-80446000,25,20,16,22,0
chr13:80571401-80571800,22,41,0,13,30
chr13:86810001-86811000,0,0,26,95,48
chr13:86813401-86813600,0,5,1,31,0
chr13:90444402-90446399,0,19,10,0,19
chr13:93202200-93202401,10,15,11,0,0
chr13:93222601-93223800,73,248,146,39,119
chr13:94545602-94546999,92,91,39,62,10
chr13:94666201-94667800,21,40,20,0,33
chr13:96996001-96996600,29,18,19,25,0
chr13:97658001-97662000,41,38,30,21,29
chr13:97934401-97935399,22,13,0,0,33
chr13:99403499-99403960,53,1,13,10,0
chr13:99434102-99434937,0,6,37,20,0
chr13:99600602-99602600,14,9,0,0,27
chr13:102878336-102878981,0,52,38,47,0
chr13:102897601-102898399,0,4,19,150,0
chr13:106538801-106539400,45,32,19,30,34
chr13:106905801-106906999,0,70,0,30,28
chr13:106919538-106919803,20,30,20,20,63
chr13:109253202-109259200,35,0,22,8,7
chr13:109336002-109337599,0,17,91,106,103
chr13:109344201-109346399,23,0,47,11,43
chr13:109348374-109349999,29,17,72,75,113
chr13:109381001-109382600,0,0,16,60,75
chr13:109407349-109410000,19,0,20,39,208
chr13:109424000-109424401,25344,16916,7833,8555,17903
chr13:110139841-110140116,0,0,50,22,12
chr13:110520403-110521288,11,59,16,18,9
chr13:110564602-110565692,153,373,245,336,162
chr13:110747801-110748600,0,16,21,29,0
chr13:110919801-110922199,43,37,18,19,0
chr13:110924801-110925800,19,25,0,10,28
chr13:112593201-112593400,22,0,19,10,0
chr13:112596001-112596800,70,25,0,105,18
chr13:113173201-113175200,137,141,429,244,474
chr13:113283201-113285800,0,56,19,63,0
chr13:113562002-113562999,0,29,0,17,7
chr13:113756635-113756758,7,0,9,9,6
chr13:113931001-113931435,69,46,281,107,15
chr13:113934602-113937399,674,654,1330,668,482
chr13:113937602-113939599,909,897,1021,713,306
chr13:113941621-113942263,36,79,266,82,32
chr13:113946801-113948800,431,801,872,1013,609
chr13:114135711-114136001,0,25,5,3,0
chr13:114141047-114141507,42,33,73,31,0
chr13:114142299-114142905,45,4,19,45,18
chr13:114144018-114144203,11,0,2,22,0
chr13:114148461-114149015,58,14,62,35,18
chr13:114150994-114151203,22,9,0,2,0
chr13:114339002-114341399,0,17,0,13,53
chr12:263557-264061,0,8,0,4,18
chr12:446001-447800,35,17,18,0,26
chr12:666724-667118,11,24,0,20,0
chr12:723601-731399,35,37,39,21,29
chr12:751088-751498,34,43,0,56,82
chr12:1527402-1528799,23,56,19,74,0
chr12:1939402-1940470,587,411,358,225,396
chr12:2944001-2945200,43,36,67,0,157
chr12:3055002-3056600,43,54,0,13,0
chr12:3772002-3773599,52,33,6,21,0
chr12:3775601-3775800,11,18,9,0,36
chr12:3923001-3924799,0,35,18,41,0
chr12:3927802-3936400,128,41,153,81,96
chr12:4034601-4039600,7,12,6,6,0
chr12:4172802-4178400,0,20,71,0,76
chr12:4188602-4194399,0,42,0,15,36
chr12:4483801-4485599,21,32,73,9,31
chr12:5050602-5054400,0,27,48,61,0
chr12:6149601-6150201,44,60,55,0,114
chr12:6171333-6172070,20,0,0,59,13
chr12:6182192-6182590,9,0,29,4,17
chr12:6188402-6190600,529,32,3092,979,101
chr12:6249002-6250799,0,17,18,19,0
chr12:6414601-6418599,532,345,666,896,689
chr12:6476201-6477199,1,36,3,0,18
chr12:6734801-6735200,23,114,180,204,34
chr12:6735402-6738799,691,1241,1387,1393,1221
chr12:6745682-6745990,20,2,0,20,0
chr12:7264801-7266000,23,0,19,0,31
chr12:7280401-7282600,0,18,39,0,142
chr12:7292402-7296599,69,0,74,0,209
chr12:7297001-7299800,180,17,113,41,160
chr12:7340601-7341400,0,14,0,20,18
chr12:7514201-7514800,0,15,48,0,90
chr12:7537201-7538999,43,0,0,19,56
chr12:7570002-7575400,266,32,151,359,721
chr12:7718202-7721400,43,7,12,0,151
chr12:7945602-7953199,11,9,9,10,9
chr12:8026536-8026955,67,197,90,149,69
chr12:8527002-8528199,344,625,207,964,1958
chr12:8532001-8532400,114,0,438,356,456
chr12:8543402-8545400,724,143,1237,1007,2014
chr12:8545601-8547200,308,42,661,558,946
chr12:8582201-8585400,9,70,20,0,95
chr12:8670401-8672740,90,51,62,19,81
chr12:8674601-8677999,45,16,0,0,8
chr12:9015601-9016400,422,224,111,39,194
chr12:9029802-9031999,72,40,16,56,19
chr12:9032201-9034000,67,32,57,12,20
chr12:9046402-9047448,0,37,0,58,37
chr12:9049401-9050400,0,80,19,38,0
chr12:9050601-9051800,66,48,0,0,37
chr12:9122200-9122401,10,0,3,0,1
chr12:9133100-9134366,604,728,760,280,685
chr12:9318201-9318400,11,25,28,28,16
chr12:9319400-9320600,84,152,511,269,14
chr12:9326802-9328799,23,29,104,62,0
chr12:9332601-9335400,20,71,110,19,13
chr12:9336001-9336400,0,18,33,41,0
chr12:9340348-9346399,0,36,76,16,0
chr12:9710402-9712599,194,511,626,862,148
chr12:10068022-10068179,3,9,0,8,0
chr12:10331580-10332169,30,44,29,211,27
chr12:10339002-10340199,16,0,0,29,10
chr12:10361797-10361827,70,21,7,24,23
chr12:10362806-10363070,151,197,103,127,179
chr12:10600801-10601800,341,373,796,578,335
chr12:11592601-11593400,0,18,1,36,0
chr12:11594401-11597600,47,38,56,21,35
chr12:11603802-11605199,0,0,19,17,12
chr12:11646601-11646800,28,1,20,18,9
chr12:12270801-12271000,0,39,38,0,21
chr12:12272802-12273972,0,55,19,35,57
chr12:12313823-12314590,2,0,19,37,19
chr12:12703402-12707400,65,73,340,228,39
chr12:12844802-12847000,16,0,19,56,0
chr12:12868801-12869000,0,0,21,10,1
chr12:12872942-12873231,6,0,2,29,35
chr12:12874585-12874965,120,85,21,37,48
chr12:12920944-12923200,23,8,11,0,36
chr12:13221602-13224599,0,18,15,12,104
chr12:14909402-14911400,122,177,361,325,554
chr12:15904001-15904400,26,236,200,113,119
chr12:19757226-19758467,33,89,69,20,103
chr12:19760654-19762400,0,53,19,9,80
chr12:26844801-26847000,0,18,0,29,38
chr12:26853335-26853729,0,12,6,3,0
chr12:26856201-26857200,0,36,38,20,18
chr12:26969001-26969400,86,395,78,34,86
chr12:27076202-27078051,0,54,86,223,18
chr12:27185002-27187799,33,61,49,136,27
chr12:27190221-27195600,161,137,280,131,147
